((0, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((1, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((2, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((3, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((4, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((5, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((6, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((7, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((8, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((9, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((10, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((11, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((12, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((13, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((14, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((15, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((16, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((17, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((18, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((19, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((20, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((21, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((22, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((23, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((24, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((25, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((26, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((27, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((28, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((29, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((30, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((31, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((32, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((33, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((34, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((35, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((36, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((37, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((38, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((39, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((40, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((41, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((42, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((43, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((44, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((45, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((46, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((47, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((48, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((49, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((50, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((51, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((52, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((53, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((54, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((55, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((56, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((57, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((58, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((59, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((60, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((61, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((62, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((63, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((64, 0), (0.0, 0.6, 0.0, 1.0), 'forest')
((65, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((66, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((67, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((68, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((69, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((70, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((71, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((72, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((73, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((74, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((75, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((76, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((77, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((78, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((79, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((80, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((81, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((82, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((83, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((84, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((85, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((86, 0), (0.0, 0.4, 0.0, 1.0), 'swamp')
((87, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((88, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
((89, 0), (0.0, 1.0, 0.0, 1.0), 'grass')
